linea,hora_inicio,hora_fin,conductores,vehiculos,precio,descuento
L1,06:45,23:15,"['Felipe Verdugo Jimenez', 'Esmeralda Herrero Iniesta', 'Sandra Arellano Dueñas', 'Adora Paniagua Bárcena', 'Jerónimo Rivera', 'Ximena Lobo Gras', 'Flavia Jimena Calleja Cantón', 'Ale Gárate Bustamante']","['Bus_4', 'Bus_71', 'Tranvia_75', 'Bus_11', 'Tranvia_35', 'Bus_23', 'Bus_72', 'Bus_21']",1.91,0.29
L2,07:30,20:30,"['Felipa Rios Anguita', 'Bruno Sáenz-Elorza', 'Glauco Ugarte Girona', 'Anastasio Somoza Ibañez', 'María Del Carmen del Aliaga', 'Azucena de Montesinos', 'Eliana Varela Valls', 'Valero de Exposito', 'Alexandra Reguera Martínez', 'Coral Uribe-Villar', 'Jeremías Quintana', 'Samanta Cabrero-Gutiérrez', 'Ainoa Simó Diez', 'Luisina Garmendia Carnero', 'Graciano Belmonte Sola', 'Teresa Cano Zabaleta', 'Miguel Ángel Moya Amat']","['Tranvia_34', 'Bus_18', 'Bus_17', 'Bus_62', 'Bus_16', 'Tranvia_64', 'Bus_90', 'Tranvia_16', 'Bus_77', 'Bus_1', 'Bus_64', 'Bus_25', 'Bus_42', 'Bus_53', 'Bus_95', 'Bus_82', 'Tranvia_22']",1.31,0.22
L3,05:15,22:15,"['Fabiana Soto Alvarez', 'Cirino Anguita Caro', 'Flora Medina Lucena', 'Herberto Ruano Manuel', 'Flavio Álvaro Calderón']","['Bus_65', 'Tranvia_4', 'Bus_50', 'Tranvia_27', 'Bus_28']",2.67,0.29
L4,07:45,23:15,"['Anselma Salamanca Gonzalez', 'Juan Carlos Salinas González', 'Galo Araujo Benitez', 'Javi Córdoba', 'Jesusa Arjona Múgica', 'Maricruz Carreño Patiño', 'Teófilo Cordero-Gomis', 'Santos Solana-Jódar', 'Edu Román Carreño Amo']","['Tranvia_13', 'Bus_55', 'Tranvia_88', 'Bus_37', 'Tranvia_61', 'Bus_95', 'Bus_43', 'Bus_75', 'Tranvia_70']",2.23,0.33
L5,07:00,23:00,"['Evaristo Jordán Plaza', 'Víctor Berrocal Lobato', 'Lorenza Nicolasa Tejada Contreras', 'Elena Tur Lumbreras', 'Julio César Marquez Salazar', 'Ambrosio Abellán Lobato', 'Jose Francisco Osvaldo Solé Rosa', 'Jennifer Cuervo Pedrero', 'Mamen Susana Zurita Larrea', 'Eugenio Máximo Carrasco Menéndez', 'Ester Pavón', 'Sofía Caro', 'Ariadna Palmer Jordá', 'Íngrid Jáuregui-Serra', 'Leoncio Mesa Menendez', 'Carolina Valverde-Carlos', 'Chuy Saavedra', 'Basilio Casanova']","['Bus_3', 'Tranvia_87', 'Bus_86', 'Tranvia_48', 'Bus_69', 'Bus_82', 'Bus_52', 'Bus_34', 'Bus_59', 'Bus_70', 'Bus_7', 'Bus_24', 'Tranvia_80', 'Bus_67', 'Tranvia_6', 'Bus_85', 'Tranvia_74', 'Bus_97']",2.73,0.41
L6,05:00,21:15,"['Custodia Prada Acedo', 'Eugenio Oliver', 'Tere Velasco Pallarès', 'Inés Beltran Mulet', 'Luisa Guerra Lerma', 'Paz Clavero Pedrero', 'Lola Cruz-Merino', 'Almudena Murillo']","['Tranvia_6', 'Tranvia_82', 'Bus_49', 'Bus_55', 'Bus_69', 'Bus_36', 'Tranvia_7', 'Tranvia_93']",2.14,0.35
L7,06:00,20:00,"['Jessica Vega Botella', 'Reyes Vilanova Ribes', 'Encarnación Carvajal Sedano', 'Gilberto Cayetano Verdejo Boada', 'Delia del Raya', 'Valerio Medina Ramírez', 'Manuel Abad Barco', 'Eli Reyes Guzman']","['Bus_91', 'Bus_28', 'Bus_97', 'Bus_87', 'Bus_17', 'Bus_81', 'Bus_82', 'Tranvia_33']",2.67,0.12
L8,05:45,20:30,"['Adora Prudencia Moliner Vargas', 'Iván Calvet-Sainz', 'Haroldo Barral Becerra', 'Sofía Yáñez Naranjo', 'Teresita del Soria', 'Imelda Bustamante Colomer', 'Salomé Planas Prat', 'Fabiola Toro Bellido', 'Olga Lago-Llopis']","['Bus_30', 'Bus_29', 'Bus_50', 'Bus_41', 'Bus_41', 'Tranvia_87', 'Bus_64', 'Bus_17', 'Bus_57']",2.06,0.1
L9,05:15,21:30,"['Leoncio del Guillén', 'Florinda Peñalver Nicolás', 'Benigno Luque', 'Nazario Hernandez', 'Guillermo del Ariza', 'Nicolasa del Gomila', 'Gil Roldan Casal', 'Lalo del Arrieta', 'Genoveva Trini Patiño Villar', 'Albert Galvez-Roma', 'Cándido Rodrigo Marquez', 'Estefanía Ribera Sosa', 'Teobaldo del Vilar', 'Sabina Ferrán Guardia']","['Bus_4', 'Bus_94', 'Bus_28', 'Bus_49', 'Bus_5', 'Bus_25', 'Tranvia_25', 'Tranvia_56', 'Tranvia_90', 'Bus_36', 'Bus_90', 'Bus_69', 'Bus_34', 'Tranvia_76']",2.59,0.25
L10,07:30,23:00,"['Mayte Pina Vizcaíno', 'Maura Acosta Seguí', 'Porfirio de Salcedo', 'Tomasa Soriano Menéndez', 'Nicanor Quesada', 'Nicolasa Paniagua Palomo', 'Valentín Peñalver Salazar', 'Marina Blasco Artigas', 'Tania Segura Colomer', 'Graciano Sevillano Ramis', 'Josefina del Gras', 'Reinaldo Tudela Alcántara', 'Darío Porfirio Fuentes Cámara', 'Marcelo de Izquierdo', 'Clemente Farré Cabo', 'Alicia Lucena Valenzuela', 'Lupita Lluch Iniesta']","['Bus_59', 'Bus_28', 'Bus_36', 'Tranvia_52', 'Bus_90', 'Bus_76', 'Bus_8', 'Bus_52', 'Bus_3', 'Tranvia_31', 'Bus_63', 'Bus_3', 'Tranvia_34', 'Bus_4', 'Tranvia_50', 'Tranvia_15', 'Bus_26']",2.09,0.24
